City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Srednekolymsk,RU,67.45,153.6833,-18.58,87,100,10.69,overcast clouds
234,Kauhajoki,FI,62.4333,22.1833,19.4,73,0,8.05,clear sky
235,Nikolskoye,RU,59.7035,30.7861,21.2,86,90,11.18,light snow
236,Constitucion,CL,-35.3333,-72.4167,70.68,64,1,18.12,clear sky
237,Gornyak,RU,50.9942,81.4661,18.48,93,80,8.55,broken clouds
238,Brattvag,NO,62.6002,6.4434,32.0,86,0,8.05,clear sky
239,Bengkulu,ID,-3.8004,102.2655,74.8,83,95,4.21,light rain
240,Xuddur,SO,4.1213,43.8894,69.93,80,11,16.67,few clouds
241,Llangefni,GB,53.2556,-4.3106,43.0,81,4,4.61,clear sky
242,Bambous Virieux,MU,-20.3428,57.7575,80.01,88,40,5.75,scattered clouds
243,Lastoursville,GA,-0.8143,12.7287,74.41,82,68,2.15,light rain
244,Henties Bay,NA,-22.116,14.2845,67.32,72,0,9.17,clear sky
245,Paamiut,GL,61.994,-49.6678,30.65,99,99,5.97,overcast clouds
246,Havelock,US,34.8791,-76.9013,53.01,46,20,12.66,few clouds
247,Terrace Bay,CA,48.7834,-87.1,30.2,64,75,6.91,broken clouds
248,Longyearbyen,SJ,78.2186,15.6401,5.0,66,20,12.66,few clouds
249,Dukat,RU,62.55,155.55,-29.47,83,100,4.97,overcast clouds
250,Meulaboh,ID,4.1363,96.1285,76.82,83,90,2.08,overcast clouds
251,San Ramon,US,37.7799,-121.978,63.0,44,1,8.05,clear sky
252,Dawei,MM,14.0833,98.2,73.04,59,47,2.39,scattered clouds
253,Utete,TZ,-7.986,38.758,73.04,89,100,1.74,light rain
254,Tual,ID,-5.6667,132.75,82.67,76,83,12.24,broken clouds
255,Kathmandu,NP,27.7167,85.3167,53.6,94,75,3.44,mist
256,Ilhabela,BR,-23.7781,-45.3581,75.25,82,100,4.09,heavy intensity rain
257,Chuy,UY,-33.6971,-53.4616,73.22,74,19,9.1,few clouds
258,Qurayyat,SA,31.3318,37.3428,57.2,28,0,9.22,clear sky
259,Kalmunai,LK,7.4167,81.8167,78.42,86,52,3.85,broken clouds
260,Kavieng,PG,-2.5744,150.7967,80.74,77,100,5.08,moderate rain
261,Khandyga,RU,62.6667,135.6,-29.7,82,36,2.91,scattered clouds
262,Novaya Malykla,RU,54.2,49.95,20.28,97,100,18.23,light snow
263,Huarmey,PE,-10.0681,-78.1522,77.65,67,80,10.65,broken clouds
264,Severo-Yeniseyskiy,RU,60.3725,93.0408,7.38,95,79,10.31,broken clouds
265,Clifton,US,40.8584,-74.1638,41.0,41,1,8.61,clear sky
266,Castro,BR,-24.7911,-50.0119,68.11,92,46,4.32,scattered clouds
267,Djibo,BF,14.1022,-1.6306,86.45,18,12,4.85,few clouds
268,Cabo San Lucas,MX,22.8909,-109.9124,80.6,46,1,12.66,clear sky
269,Gunjur,GM,13.2019,-16.7339,73.4,64,0,10.36,clear sky
270,Sassandra,CI,4.95,-6.0833,79.16,83,68,6.89,broken clouds
271,Necochea,AR,-38.5473,-58.7368,89.01,39,62,7.0,broken clouds
272,Kaitangata,NZ,-46.2817,169.8464,53.01,63,76,8.99,broken clouds
273,Vaitape,PF,-16.5167,-151.75,81.93,76,100,19.8,light rain
274,Sioux Lookout,CA,50.1001,-91.917,44.6,42,75,13.8,broken clouds
275,Hokitika,NZ,-42.7167,170.9667,55.53,77,100,7.29,overcast clouds
276,Clyde River,CA,70.4692,-68.5914,-18.4,69,1,2.3,clear sky
277,College,US,64.8569,-147.8028,15.01,78,90,3.44,light snow
278,Smithers,CA,54.7804,-127.1743,30.2,69,75,2.3,broken clouds
279,Katima Mulilo,NA,-17.5,24.2667,66.31,76,8,3.4,clear sky
280,Banda Aceh,ID,5.5577,95.3222,79.29,78,94,3.85,overcast clouds
281,Adrar,MR,20.5022,-10.0711,68.25,25,2,10.83,clear sky
282,Praia Da Vitoria,PT,38.7333,-27.0667,62.6,94,75,16.75,light intensity drizzle
283,Roebourne,AU,-20.7833,117.1333,80.28,78,0,9.98,clear sky
284,Lompoc,US,34.6391,-120.4579,57.99,67,90,9.22,overcast clouds
285,Monterey,US,36.2505,-121.2516,64.0,41,100,14.0,overcast clouds
286,Geraldton,AU,-28.7667,114.6,77.0,57,0,18.41,clear sky
287,Khoy,IR,38.5504,44.9535,39.74,67,24,5.03,few clouds
288,Pacific Grove,US,36.6177,-121.9166,59.0,51,1,8.05,clear sky
